conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username
1861315093725851788;Tue Nov 26 07:44:34 +0000 2024;0;PPN12 KASUS ISILOP KASUS KOMDIGI DLL;1861315093725851788;;;in;;0;0;0;https://x.com/dowogiee/status/1861315093725851788;1539965119303942145;dowogiee
1861245705840664583;Tue Nov 26 07:33:27 +0000 2024;0;@ardisatriawan tambahan Komdigi juga ga guna;1861312296359993703;;ardisatriawan;in;;0;0;0;https://x.com/DaniDar43698194/status/1861312296359993703;1222475767096889344;DaniDar43698194
1861311263911092448;Tue Nov 26 07:29:21 +0000 2024;0;Peran Alwin Jabarti Kiemas di Kasus Skandal Judi Online Komdigi https://t.co/RyxGBKVAsX lewat @tribunnews;1861311263911092448;;;in;Indonesia;0;0;0;https://x.com/tribunnews/status/1861311263911092448;124171593;tribunnews
1861311000718516613;Tue Nov 26 07:28:18 +0000 2024;0;Menteri Agama Nasaruddin Umar mengajak warga bangsa Indonesia untuk menggunakan hak pilihnya pada pemilihan Kepala Daerah (Pilkada) serentak 27 November 2024. Menag juga mendoakan pilkada berjalan aman dan lancar. #Pilkada2024 #PilkadaDamai2024 #PilkadaDamai #FMB9 #komdigi https://t.co/LyWoyvphOo;1861311000718516613;https://pbs.twimg.com/media/GdS0dctaoAAbXr6.jpg;;in;Jl. Medan Merdeka Barat 9;0;0;0;https://x.com/FMB9ID_/status/1861311000718516613;902385054336167937;FMB9ID_
1861309875982344381;Tue Nov 26 07:23:50 +0000 2024;0;Terbaru! Polda Metro Jaya Ungkap Peran 24 Tersangka Judi Online Komdigi 4 Masih Buron https://t.co/qWvg2ISGgK;1861309875982344381;;;in;Indonesia;0;0;1;https://x.com/KompasTV/status/1861309875982344381;71436318;KompasTV
1861309567298318809;Tue Nov 26 07:22:36 +0000 2024;0;Ketua Komisi Pemilihan Umum (KPU) Mochammad Afifudin meminta kepada masyarakat untuk bersama-sama mengawal proses Pilkada serentak demi terpilihnya kandidat terbaik dari masing-masing daerah. #pilkadaserentak #pilkada2024 #pilkadadamai2024 #pilkadadamai #KPU #FMB9 #Komdigi https://t.co/HDIIyn6pRa;1861309567298318809;https://pbs.twimg.com/ext_tw_video_thumb/1861309082466140160/pu/img/czWaCkYlzbKOAZsI.jpg;;in;Jl. Medan Merdeka Barat 9;0;0;0;https://x.com/FMB9ID_/status/1861309567298318809;902385054336167937;FMB9ID_
1861233887055323158;Tue Nov 26 07:21:55 +0000 2024;0;@kompascom Sampai sekarang iklan judol masih bertebaran di internet. Aplikasi buku/novel seringkali disisipi iklan seperti itu tapi seakan tidak diawasi kominfo (dulu) mau pun komdigi (sekarang).;1861309394715320454;;kompascom;in;Konoha;0;0;0;https://x.com/Ghifari17smp/status/1861309394715320454;1593549394758234112;Ghifari17smp
1861307167128572345;Tue Nov 26 07:13:04 +0000 2024;0;LAH BANGST BANGET TERNYATA MANGADEX KENA BLOCK KOMDIGI gue udah sering refresh tapi ga ke load² gue pikir kena ddos lagi gataunya malah kena blokir pake VPN malah lancar jaya HADEEEHHHHHHH;1861307167128572345;;;in;;0;1;0;https://x.com/IsmiMaulidyati/status/1861307167128572345;208881300;IsmiMaulidyati
1858438748528140419;Tue Nov 26 07:08:09 +0000 2024;0;@KompasTV Kalo sampe beneran Kementerian Komdigi jadi tempat perlindungan buat jaringan judi online parah banget nih! Harusnya dijaga dan diawasi lebih ketat lagi nih.;1861305928953536770;;KompasTV;in;Sulsel;0;0;0;https://x.com/dfghjk0404m/status/1861305928953536770;4607396232;dfghjk0404m
1861304068536442960;Tue Nov 26 07:00:46 +0000 2024;0;- Hubungi Situs Aduan Resmi Komdigi: https://t.co/f8bkwXQYH7 dan https://t.co/gzsiWtSpqK Mari bersama-sama memerangi penipuan dan menjaga keamanan data kita! #KawalRuangDigital #MakinCakapDigital https://t.co/MgVNQpyqb0;1861304071057256532;https://pbs.twimg.com/media/GdSuKiXaoAQsfmi.jpg;pajaksidbar;in;Jl. Lingkar Barat Gelora Delta;0;0;0;https://x.com/pajaksidbar/status/1861304071057256532;3488009713;pajaksidbar
